FACTOR	PEARSON	DNASE	D13	DNASES	D13S	TC	FOS	PWM	BOYLE	NEPH	CUELLAR	PIQUE	HMM	HMM_BC
ATF3	0.604645322301	0.798653975247	0.797599965266	0.743223142625	0.748291552589	0.874601949564	0.42924579525	0.325755995758	0.646771996347	0.68183899601	0.546939358514	0.802104980677	0.789915468858	0.770288286283
BACH1	0.786930571566	0.299051973777	0.315501969088	0.244814511262	0.268055528726	0.396851765777	0.16484263429	0.124420305891	0.184750645081	0.192250750225	0.201926726681	0.310848220704	0.274704274137	0.261660791915
BRCA1	0.494134318299	0.910453198815	0.877546240692	0.93883017055	0.925240435862	0.982991032108	0.345391944912	0.00994875490432	0.471805188566	0.402672351669	0.799533589558	0.967026983746	0.641546560974	0.758915845944
CEBPB	0.770830164472	0.293255580656	0.313967531882	0.170614287874	0.199472632035	0.398383743401	0.190717079663	0.161614789851	0.189187505021	0.202758295389	0.285786925457	0.246211403344	0.259303260244	0.259453427709
CTCF	0.322517083354	0.495012546467	0.490525279835	0.228951003789	0.215665490665	0.421560310528	0.250668181009	0.467364276718	0.507315775762	0.492980960616	0.490869839922	0.592523744522	0.540927714246	0.499808359443
EGR1	0.749282413409	0.392151870308	0.386851457512	0.311918395744	0.306888237477	0.561880711769	0.109333800276	0.225317535968	0.488288187091	0.467675547481	0.229585092214	0.496553804323	0.456186476113	0.408438366804
FOSL1	0.682479861023	0.78427593882	0.7913255568	0.78620793595	0.806577706838	0.909475844917	0.220895486279	0.151191897001	0.569581310479	0.536364446392	0.261376487021	0.847678822	0.792426792461	0.745359789075
GABP	0.534467757218	0.631482065946	0.61243524111	0.468604394883	0.490828555723	0.77542216442	0.228502100465	0.321238541167	0.675700011944	0.682871821172	0.402736083385	0.765593306176	0.728921692618	0.681798980763
JUN	0.761913281458	0.77181447358	0.784914803106	0.731586577819	0.756754930584	0.873342511832	0.444310284791	0.135065199416	0.551177424149	0.585482526652	0.45337949797	0.76361392845	0.752489979067	0.736576334747
JUND	0.807218742721	0.47244441527	0.488269373359	0.392826379966	0.415027689263	0.61195304613	0.211145230062	0.156471967356	0.272981874018	0.272238000679	0.295687669343	0.453064119218	0.431632327789	0.416277251259
MAFK	0.786973693228	0.374113479643	0.370534555998	0.121513585229	0.139178058307	0.250027182509	0.127005781176	0.339461662163	0.355133625588	0.357560640981	0.425855125662	0.13570200592	0.381691180247	0.3722310393
MAX	0.425915440417	0.54073381393	0.576959053768	0.515841178108	0.568013057018	0.700552172942	0.244250140439	0.0934748069347	0.248172044777	0.275801301237	0.153462977669	0.533103812258	0.46864477017	0.444800648453
MYC	0.416267022573	0.705245933733	0.702700652782	0.745597436598	0.766309637182	0.861958969152	0.277522247405	0.0934631683915	0.434744529443	0.474198104552	0.140929279109	0.766854528314	0.697788077256	0.672027627208
NRF1	0.128305598408	0.598763785139	0.596197545712	0.124030936746	0.122442127456	0.414370755953	0.381434011789	0.458841367444	0.595487069341	0.618676741864	0.469889346355	0.341408829389	0.625633956283	0.603175552051
P300	0.688320337362	0.587210096846	0.548738946686	0.643221447071	0.634209822299	0.79519144317	0.126775753704	0.0519465459775	0.458784389335	0.490852943327	0.284506279132	0.730545818949	0.658795714006	0.637794444181
POU5F1	0.869840940462	0.646086681338	0.642336190913	0.42440235542	0.438423578298	0.784384564549	0.404981158141	0.436146052297	0.477501711874	0.490419638567	0.59593461255	0.604338921816	0.624714977644	0.614217677845
RAD21	0.316479357991	0.446368709704	0.442803785331	0.185586972995	0.174061942347	0.360841611088	0.244540443484	0.461567519306	0.467976759661	0.452750606099	0.483973792771	0.540205910579	0.486017807163	0.445147596427
REST	0.490044214259	0.335246252871	0.312212269644	0.190279068087	0.187209542635	0.259801798156	0.19306389854	0.61730825488	0.581380762766	0.56489375299	0.622681659151	0.138434403768	0.48140376472	0.412282177363
RFX5	0.557216662732	0.543498263502	0.542802093589	0.421640703654	0.417766314965	0.529080892355	0.216053898589	0.362374984965	0.522654777274	0.531461851147	0.423525763831	0.407434599204	0.584023448637	0.552127220071
RXRA	0.63287098572	0.6203380088	0.608967201081	0.603975487832	0.600270477444	0.759716534737	0.244526305201	0.118919499733	0.338038415294	0.362630683503	0.258338519547	0.616691910025	0.548797494061	0.573934700794
SIX5	0.672866047018	0.750387764693	0.736040697148	0.625746851067	0.628447675136	0.763175683395	0.286655902558	0.424850158478	0.694334198007	0.704987936072	0.480884840623	0.611446666887	0.792738609039	0.763558927922
SP1	0.538431854879	0.4148823067	0.406549349687	0.397012381924	0.396029299551	0.664318315714	0.133824977002	0.215679557331	0.555019975562	0.535090135465	0.231541830913	0.616779790366	0.51334732181	0.452792820403
SP2	0.494158530352	0.425349357802	0.417151377148	0.387847202871	0.381785298829	0.752614322018	0.140227558278	0.248535605638	0.613148639597	0.615139587426	0.259826641809	0.37514565531	0.515494404762	0.460079639186
SP4	0.0596792691248	0.320130576432	0.312020186492	0.277099169778	0.27031950266	0.638378237852	0.223665313783	0.162451976932	0.492553984946	0.499368161319	0.170792913103	0.314265156295	0.392896788874	0.355523305162
SRF	0.758712022994	0.505760851639	0.496692898424	0.241733715139	0.257950452315	0.445520304266	0.206087837836	0.391906902635	0.445622016679	0.455829391329	0.567977460308	0.26884880119	0.495056369575	0.494463231183
TBP	0.7934206765	0.834804043028	0.862194909805	0.808302864622	0.850227233781	0.933954160085	0.489085784607	0.219705604127	0.569295114203	0.639688545119	0.714343968399	0.890088840254	0.797173927656	0.796163565233
TCF12	0.720877985433	0.425547221457	0.398871240955	0.428557781548	0.415383174114	0.59031356028	0.128892432953	0.0783359647871	0.342794955583	0.315075052118	0.141459771092	0.442125369371	0.492781660888	0.436390099848
USF1	0.601909002122	0.396692873228	0.409285363784	0.281373346589	0.304276421319	0.418875834597	0.227686832552	0.254203961288	0.331066287532	0.339141290022	0.405307647506	0.291230604519	0.39299161608	0.377781948519
USF2	0.577772998711	0.694966256515	0.701512467087	0.60645106102	0.623308816716	0.75332628309	0.350645913965	0.284733681118	0.541073769879	0.563315974426	0.481192381041	0.616326166879	0.668701671287	0.654838005462
YY1	0.635495538902	0.717064951978	0.729733381763	0.544823482961	0.577519217012	0.721855088852	0.286133900669	0.429846374823	0.553530334296	0.586020825185	0.608428472804	0.583745844553	0.689201859716	0.685256421684
ZNF143	0.689803494357	0.704687276989	0.685198562592	0.620794543384	0.617610462387	0.762041080056	0.211875799363	0.289908004073	0.598447214688	0.610460906518	0.346106799339	0.626722136555	0.735456184159	0.714056104913
