FACTOR	PEARSON	TC	FOS	PWM	HMMD	HMMD_BC	HMMD_BCN	BOYLE	NEPH	CUELLAR	PIQUE
ATF3	0.60464540015	0.264943179867	0.0655154502186	0.0203635674676	0.643490385019	0.67744068441	0.675265027104	0.523040223593	0.523420423204	0.0209163827885	0.157742148369
BACH1	0.786930672381	0.0233540129819	0.00806459746057	0.00448089220646	0.144337714667	0.148470670559	0.148993544753	0.0854682090162	0.0796940953229	0.00448321953967	0.0142386245771
BRCA1	0.494134260188	0.266217732884	0.0	0.0	0.787654320988	0.757126823793	0.85342312009	0.659259259259	0.636812570146	0.0	0.16430976431
CEBPB	0.770830153102	0.0124419787162	0.00464631825434	0.000529249496521	0.0805747741843	0.0836694990746	0.084064128423	0.0463231775894	0.0441327154653	0.000777335198015	0.00658254061298
CTCF	0.32251716358	0.150752494389	0.123340061204	0.279635627949	0.476176710271	0.518632780258	0.527384147386	0.314958032399	0.297474238764	0.281801629242	0.264662251562
EGR1	0.749282409459	0.528141665793	0.0997200928624	0.208849367248	0.752333976805	0.771263807464	0.827676874123	0.653564617353	0.641526770312	0.212086467718	0.470705950687
FOSL1	0.682479958608	0.254308489217	0.013290005416	8.33229179686e-05	0.688851393576	0.68224110875	0.676464053104	0.527607660154	0.500479106778	0.0023747031621	0.151085281007
GABP	0.534467733279	0.508801307881	0.103525979175	0.162628932761	0.901911367985	0.911642741974	0.933483357664	0.764324357622	0.744558057265	0.191219274427	0.538087194675
JUN	0.761913346455	0.153997846462	0.0945791027257	0.000650288837662	0.535826811794	0.592089851764	0.594518177003	0.440005570352	0.423652608989	0.000793277779021	0.103796294224
JUND	0.807218901808	0.0526198022126	0.00881252304563	0.0057551886967	0.268742241037	0.274798219123	0.267787561673	0.161921658239	0.14763017514	0.00649137311791	0.0334058034809
MAFK	0.786973676151	0.00692644028877	0.00376354571334	0.0231254620091	0.054747959296	0.056308960224	0.057445620547	0.0302816879256	0.0282815621019	0.0229211556912	0.00453704723109
MAX	0.425915383186	0.06906685902	0.0155257061348	0.00121130595548	0.353373818506	0.366130871731	0.363896389152	0.212151400248	0.201906637164	0.00144135011226	0.0621145216999
MYC	0.416266944553	0.202296396944	0.0151052876114	0.00100003627984	0.644758908749	0.672060074736	0.664311402754	0.469792350571	0.443424512768	0.00148162191958	0.174270804441
NRF1	0.128305459891	0.617923071994	0.489682792396	0.589036152146	0.633329461636	0.752487215377	0.766982151575	0.714970458676	0.707553052233	0.61295462307	0.459208699674
POU5F1	0.869840977791	0.0298202495805	0.0191368555416	0.022613110563	0.219344306507	0.24679904189	0.23813100128	0.111670788619	0.104932857683	0.022613110563	0.0203670111078
RAD21	0.316479443453	0.136464127042	0.128798844953	0.290460038796	0.428315285777	0.471924657391	0.480640402211	0.274533856107	0.260263600574	0.293093401279	0.242573883447
REST	0.490044216392	0.0345578455949	0.049222192308	0.388867173024	0.188550264322	0.199813360236	0.201049283171	0.118797054261	0.115600534377	0.388867173024	0.022053226416
RFX5	0.557216721889	0.12392308782	0.0224121961054	0.0697287696013	0.38731951573	0.411310710822	0.405888827138	0.287942288622	0.284860025935	0.0707966916212	0.078355509061
RXRA	0.632870878637	0.092481285406	0.0170847945329	0.000126449959536	0.45184223541	0.459329478015	0.455828219135	0.290832096934	0.260225586728	0.00149913452028	0.0536456928334
SIX5	0.672866028588	0.189652123878	0.0322397491915	0.100515653753	0.571175290365	0.590291789017	0.589691099459	0.437609468296	0.423303904964	0.100574859707	0.110965002859
SP1	0.538431880244	0.526782370013	0.095491048279	0.143729020868	0.795173497465	0.81667990841	0.84850196373	0.691367360833	0.682518467598	0.153036821794	0.508348183094
SP2	0.494158526449	0.701321376604	0.118893236078	0.219873123541	0.901401848076	0.91587963574	0.931775522234	0.818107823646	0.830081430247	0.226753801036	0.354984010549
SP4	0.0596791982171	0.688886033357	0.245207991455	0.184156348765	0.821236402166	0.87986954672	0.863301219076	0.76911845533	0.782991540552	0.20020666586	0.331284305681
SRF	0.758712001764	0.0398587669785	0.00545349408093	0.0329466327143	0.133633667099	0.139089018532	0.140419811008	0.0920472535031	0.0875744411074	0.032954062121	0.0148275479924
TCF12	0.720877904814	0.112716665491	0.0106602207948	0.00319289639325	0.47989648555	0.48767247692	0.486482432975	0.308389211197	0.2893692963	0.00491527113498	0.0912822696295
USF1	0.601909079269	0.0630303374114	0.0155710631994	0.00396695170004	0.192517877904	0.200877089149	0.199122879159	0.13733936138	0.132544084093	0.00404908703276	0.0551302389071
USF2	0.577773081932	0.192811273346	0.0431838936852	0.0108591504312	0.487157485403	0.514270344201	0.508816986416	0.38247930807	0.373482201519	0.0124397429206	0.137663725847
YY1	0.635495552128	0.115645878191	0.0147836494945	0.0332212375685	0.389900696925	0.41099195168	0.409039682185	0.28158363842	0.269738154516	0.0332089915144	0.0599919992446
ZNF143	0.689803494665	0.17625972319	0.0210718314418	0.0577398059776	0.566081983776	0.57781043091	0.576932033311	0.420493099356	0.401290376372	0.0577711948365	0.105639891316
