FACTOR	PEARSON	TC	FOS	PWM	HMMD	HMMD_BC	HMMD_BCN
BRCA1	0.524652670838	0.947890152399	0.290637564883	0.0261135711995	0.977972604636	0.981258773183	0.980134670534
CEBPB	0.780834642694	0.554145872236	0.261050691109	0.130313076725	0.664030785375	0.695188638042	0.684028082903
CTCF	0.208417231085	0.569817999536	0.26779384007	0.488010667995	0.732507097617	0.745444291735	0.741453678843
E2F4	0.589728584283	0.643724765171	0.140402084779	0.102734104457	0.835383577783	0.902173114856	0.882909309787
E2F6	0.703452160018	0.900295730167	0.174231953673	0.176264950097	0.983539844709	0.986006753428	0.985509328223
ELK1	0.354484864291	0.888327594182	0.245277386679	0.0759348087598	0.974485711676	0.98415938141	0.983109200449
FOS	0.449782798962	0.796377400402	0.402733746333	0.0956311368301	0.935562161236	0.947103986363	0.943401242041
GABP	0.405741792188	0.878006277333	0.24519186472	0.272582381286	0.957114448676	0.964349363928	0.963162198002
JUN	0.54198796637	0.767486880604	0.351410369598	0.121651493005	0.867019679207	0.878522578802	0.874128101599
JUND	0.485269302511	0.642408181572	0.318705860799	0.159173945303	0.781316296991	0.798822097937	0.791756888945
MAFK	0.690486258961	0.338459065102	0.166284048554	0.310786454319	0.412141133116	0.433752605066	0.425346189084
MAX	0.497657931919	0.907210439305	0.251086396784	0.0700856797426	0.955235306513	0.959956688788	0.95810424693
MYC	0.466348528368	0.95538643009	0.243897405992	0.0759797611998	0.987295669279	0.988890988011	0.988379843132
NFYA	0.801940692214	0.888623988904	0.194458774345	0.0751232747488	0.935047647637	0.941035358242	0.939259215528
NFYB	0.876793366748	0.665232539832	0.16661956377	0.198358200516	0.730674211716	0.745675174989	0.740397334067
NRF1	-0.0235383217217	0.703829952516	0.549923886807	0.480373777053	0.684593388345	0.702343725721	0.883218474343
RAD21	0.201093133584	0.583858111867	0.291616881673	0.492864557337	0.733871385604	0.754871992567	0.751316278065
REST	0.410442566066	0.311568234287	0.205871192865	0.668753759804	0.425029660823	0.442235852923	0.434753492371
STAT1	0.753382738153	0.525917546419	0.209179413288	0.205819469172	0.619728803909	0.644464787207	0.635047624654
USF2	0.305731279981	0.740234715942	0.303832278393	0.244630680325	0.829793420994	0.835567912325	0.83229023606
ZNF143	0.693382266987	0.910117606813	0.289375188658	0.341312520135	0.957136211096	0.963900253382	0.961986275508
