FACTOR	PEARSON	TC	FOS	PWM	HMMD	HMMD_BC	HMMD_BCN
BRCA1	0.524652670838	0.518097851781	0.0597995918038	0.0	0.836836825294	0.861201757319	0.852034639023
CEBPB	0.780834642694	0.102278709709	0.041432379786	0.00883115231342	0.311209484231	0.312877532611	0.313204077585
CTCF	0.208417231085	0.330372807668	0.180516701575	0.353211259157	0.636227417347	0.661162031846	0.668136518039
E2F4	0.589728584283	0.733437430858	0.17953224961	0.142854205181	0.877596893355	0.902400247307	0.918746357407
E2F6	0.703452160018	0.679780031158	0.0741885472635	0.105843210027	0.953340684451	0.958082367838	0.957832962297
ELK1	0.354484864291	0.80337926473	0.164705411924	0.0475661092634	0.956139575629	0.970878425219	0.97381636989
FOS	0.449782798962	0.5345660013	0.231016359952	0.0296641520754	0.865679409275	0.875522871152	0.892770292244
GABP	0.405741792188	0.786689245758	0.16263846836	0.171136124181	0.938174488124	0.948650812832	0.951882613868
JUN	0.54198796637	0.142901926159	0.0975545583627	0.00814167679393	0.575756108381	0.599739665503	0.596565392714
JUND	0.485269302511	0.308311405478	0.131981185292	0.0285018565402	0.651532384486	0.660693266849	0.686454037475
MAFK	0.690486258961	0.0785675372196	0.0275874151931	0.0498296573786	0.229863977285	0.233322221319	0.232674712581
MAX	0.497657931919	0.438577594161	0.0561900547736	0.00133084079038	0.789436416823	0.803481553568	0.799479398302
MYC	0.466348528368	0.510351228261	0.0448496597669	0.00191932563192	0.884881671909	0.898444964828	0.891574322685
NFYA	0.801940692214	0.421477456072	0.0338201073138	0.00188318600726	0.801919845989	0.81114757505	0.811198154062
NFYB	0.876793366748	0.223338395756	0.0226420468878	0.0110979857237	0.550186759139	0.551760695102	0.553548328449
NRF1	-0.0235383217217	0.845466986819	0.637412597478	0.606564144348	0.797412212709	0.944482932037	0.933128388958
RAD21	0.201093133584	0.390251186903	0.2129251123	0.370398040557	0.648959094077	0.69031606994	0.687825181325
REST	0.410442566066	0.131987046718	0.122700988959	0.566454122137	0.328156355117	0.334420806246	0.349785830664
STAT1	0.753382738153	0.121037126569	0.0326601759365	0.00984272838641	0.383392919776	0.388385416498	0.386851930499
USF2	0.305731279981	0.279277131594	0.0934173503651	0.0165566367557	0.593372557747	0.607678630968	0.607193813696
ZNF143	0.693382266987	0.521959903036	0.0866896206782	0.0865210865619	0.829377414664	0.849717420704	0.84925356722
