FACTOR	PEARSON	TC	FOS	PWM	HMMD	HMMD_BC	HMMD_BCN
ARID3A	0.838328614681	0.975280259342	0.618940103009	0.4581258059	0.983166493334	0.985044371549	0.984381734451
ATF3	0.5632951999	0.99708304924	0.778312390443	0.901548888389	0.998564679032	0.998818298122	0.99880818996
BHLHE40	0.430878330332	0.982341492865	0.596225603976	0.66134204455	0.990192419718	0.990943553993	0.990631595414
BRCA1	0.48016542087	0.975613940267	0.545829529987	0.452816078148	0.9790337497	0.979697734006	0.979368043879
CEBPB	0.711008461563	0.937839031629	0.616879677342	0.62310951279	0.952289712847	0.956087682948	0.95464353093
CTCF	0.173483155972	0.928869516508	0.593865686329	0.832848912333	0.951250935999	0.952219227992	0.951585877051
ELF1	0.197785148346	0.976979149443	0.535038637981	0.656274735491	0.985727584749	0.985908464249	0.985713011704
GABP	0.476622436192	0.978116587092	0.611133453868	0.695215701923	0.987370214783	0.988742100957	0.98839801516
JUN	0.552327098023	0.715618006882	0.555429948938	0.777243486617	0.744255640141	0.752172385148	0.748770771778
JUND	0.869985766383	0.948258767614	0.548425361216	0.671834196111	0.965321042654	0.970281118191	0.968582615551
MAFF	0.828710839174	0.622289522823	0.494534047771	0.76594694283	0.6554665668	0.671776990686	0.665726634343
MAFK	0.853989887245	0.591281845501	0.495243026049	0.735743778596	0.625216889967	0.642804204732	0.636327068491
MAX	0.547957903977	0.975655639594	0.521710970028	0.434622422628	0.982538087236	0.983607966874	0.983168985581
MYC	0.517338776412	0.995801530384	0.561891556887	0.535013746568	0.999059173991	0.999229084577	0.999211336304
NRF1	0.0789900461897	0.966625491829	0.823558415316	0.859088101088	0.946007178865	0.985637842565	0.984933834773
RAD21	0.164390262779	0.926504025553	0.604984402933	0.833063795603	0.948744960844	0.94996312568	0.949347630176
REST	0.419402262859	0.880623142569	0.61794094782	0.879570784823	0.907127155922	0.91139618099	0.909417709181
RXRA	0.645373437594	0.970515875541	0.53245566407	0.540361788951	0.983601412359	0.985496426337	0.984809258689
SP1	0.147849006401	0.978540294248	0.498559582643	0.64513363456	0.989612153983	0.991838754908	0.991340446671
SP2	0.2568496862	0.961956075225	0.489684503637	0.658641237054	0.974887563678	0.979208266721	0.978105198713
SRF	0.834660344109	0.895396189572	0.531458463133	0.763970150891	0.915534241619	0.9230319179	0.920318916997
USF1	0.465071783227	0.914340745681	0.539451219567	0.792041267479	0.935315348792	0.939031995108	0.937320685251
USF2	0.401865954243	0.895635234281	0.598446542001	0.777655892435	0.913328030723	0.915962005698	0.914644451134
YY1	0.672457234981	0.984374695926	0.608781076807	0.792942691763	0.989698803518	0.99077301061	0.990369457934
