FACTOR	PEARSON	TC	FOS	PWM	HMMD	HMMD_BC	HMMD_BCN
ARID3A	0.838328614681	0.359825206609	0.109236478025	0.0	0.739909528577	0.740531082661	0.740612472507
ATF3	0.5632951999	0.894622356495	0.490824709134	0.125735181733	0.971974030983	0.983485819174	0.983862069951
BHLHE40	0.430878330332	0.772280655393	0.235747641533	0.070076038578	0.913594219459	0.915485218815	0.920585685403
BRCA1	0.48016542087	0.853858453253	0.0640747286039	0.0	0.917192628124	0.914920474628	0.91796684339
CEBPB	0.711008461563	0.265513753723	0.101637019693	0.0126930990461	0.588850979331	0.58990487183	0.589916193698
CTCF	0.173483155972	0.58184405359	0.247560311311	0.461244283716	0.748294425107	0.756919534376	0.755950630139
ELF1	0.197785148346	0.739549971974	0.125764774093	0.078848770726	0.89421410591	0.895720786013	0.896537001858
GABP	0.476622436192	0.859364682792	0.244082057263	0.257785419112	0.935246761756	0.940798588564	0.944841831456
JUN	0.552327098023	0.149812618221	0.0774670634986	0.110197709774	0.28509305767	0.286369844305	0.296544254156
JUND	0.869985766383	0.449492154457	0.105202749951	0.0367576145803	0.730446376993	0.731282579714	0.769655715569
MAFF	0.828710839174	0.0300251176112	0.00872437382965	0.0658545549256	0.0985829377927	0.0986808374127	0.0986705435556
MAFK	0.853989887245	0.0180426925467	0.00660674965347	0.0514419906582	0.0678690046646	0.067983581801	0.0679335884469
MAX	0.547957903977	0.675954967203	0.112819332763	0.00685410661788	0.877276615379	0.878783318972	0.88344859976
MYC	0.517338776412	0.879590824046	0.118964384723	0.0108836078158	0.977617833845	0.980604199753	0.980279599567
NRF1	0.0789900461897	0.896833318996	0.695308179759	0.698077253822	0.83280724883	0.957760824444	0.947079295465
RAD21	0.164390262779	0.584711223881	0.259546853971	0.46270297782	0.743322808357	0.755256497578	0.753563417484
REST	0.419402262859	0.424178362889	0.275310300209	0.691135098098	0.587122825926	0.590272429902	0.607116080278
RXRA	0.645373437594	0.655736382986	0.167660900764	0.0565664017932	0.870446079657	0.871989998579	0.888811830988
SP1	0.147849006401	0.840312288593	0.210480039483	0.194060878717	0.929027075357	0.948433535082	0.939718294245
SP2	0.2568496862	0.798517370963	0.168329956626	0.234797532741	0.87572230842	0.902025005443	0.898113231248
SRF	0.834660344109	0.213982408667	0.0482393390238	0.0583571252571	0.478970166697	0.480022312278	0.480324267674
USF1	0.465071783227	0.357005747204	0.107653746753	0.0879035506927	0.585724041491	0.586318428001	0.605727511552
USF2	0.401865954243	0.491850822847	0.171438028989	0.0997722950264	0.647167839929	0.647849349973	0.656820182546
YY1	0.672457234981	0.628470483939	0.123929625258	0.0972503034271	0.857425950947	0.860280825575	0.860734590423
