FACTOR	PEARSON	TC	FOS	PWM	HMMD	HMMD_BC	HMMD_BCN	BOYLE	NEPH	CUELLAR	PIQUE	DNASE2TF	FLR	PIQ	WELLINGTON
ARID3A	0.80716421887	0.991480509416	0.723806728012	0.470470112324	0.995871231178	0.996375584245	0.99621997551	0.994677558675	0.994711135342	0.991480509416	0.992312602726	0.995386156993	0.99381130367	0.994869676489	0.994757058741
ATF1	0.687256109933	0.96874320802	0.709966556651	0.715285601817	0.981259538702	0.983717761088	0.982828011718	0.977044765149	0.977576754451	0.956442633268	0.972355205979	0.97942843039	0.974791487477	0.893842836294	0.977100366162
ATF3	0.612195738469	0.997565863928	0.891851421292	0.935450442276	0.999109563028	0.999307791986	0.999279773939	0.998984889629	0.998977941502	0.995352212646	0.998493551589	0.999177807454	0.998338990333	0.999141742676	0.99907855474
BACH1	0.461480034821	0.921043735755	0.695245495879	0.653738402297	0.93958178718	0.942294926284	0.94110109155	0.932494814418	0.933163885055	0.895288854541	0.926425338475	0.936440464284	0.929940656508	0.945808455814	0.932709336555
BHLHE40	0.563904607907	0.937809048608	0.59462401698	0.64557434016	0.955282628172	0.958785312346	0.957346082768	0.94837222422	0.948532960814	0.936998421514	0.9135217658	0.952142940703	0.946019731773	0.948686856826	0.948515782866
CCNT2	0.620201438553	0.991000158746	0.715345648686	0.74135340872	0.996592542296	0.9970590946	0.996911485459	0.995307080726	0.99583346162	0.978969356752	0.993585484428	0.996147515407	0.992866573847	0.995644131818	0.995463402362
CEBPB	0.837443979326	0.855350912874	0.527209285182	0.703369221968	0.882773494865	0.894251002989	0.890027660607	0.870367884368	0.870386014066	0.870446666346	0.86667363086	0.87681162888	0.869074210845	0.870519680127	0.870414223335
CTCF	0.226450856972	0.94853020659	0.597941604919	0.829693489191	0.970102007994	0.970868317465	0.970327699851	0.962475005918	0.962906871854	0.951452461547	0.957302101363	0.966899091686	0.960572346248	0.962268868525	0.962790820088
CTCFL	0.196114634764	0.972096979744	0.661928576336	0.815073075055	0.987737305827	0.990513284441	0.990180622014	0.984204675085	0.982452994037	0.967277054699	0.981127446882	0.987482225454	0.980666302819	0.983425284852	0.984045487429
E2F4	0.518568752189	0.974259293708	0.531863074091	0.570974394154	0.976699576102	0.993626591538	0.99215308517	0.984024678015	0.987856596453	0.967750236703	0.957524044436	0.990780870547	0.977219074149	0.987881068179	0.984450233721
E2F6	0.625726742361	0.979374765273	0.494392674153	0.649808325449	0.991596211494	0.992854158396	0.992459359825	0.988382467665	0.988465395298	0.968617242974	0.985109718814	0.990604514949	0.983731144337	0.989005089521	0.988647822805
EFOS	0.755693271069	0.972055621423	0.596285099656	0.650662629405	0.98614225269	0.988669014256	0.987820928609	0.981391118551	0.981696504803	0.96188571216	0.978422505697	0.984179005857	0.977679542901	0.981786241744	0.98155294515
EGATA	0.796900563532	0.975077283234	0.674412555817	0.570144355051	0.98537254779	0.987233533318	0.986595043875	0.982141932251	0.982609459639	0.956282860718	0.978281196038	0.984035446422	0.979042932576	0.982495955303	0.982301604598
EGR1	0.763513484225	0.917379530119	0.50548748614	0.693521035121	0.941760886128	0.950403435201	0.947941811809	0.932444992595	0.933443795718	0.903190049371	0.920833868069	0.938464819295	0.927386332119	0.933009645194	0.932507697461
EJUNB	0.69021680169	0.968097941421	0.580718934507	0.686758562061	0.983256546214	0.985877992159	0.984952830005	0.978110118304	0.978617046523	0.953465648564	0.974592757219	0.981132747596	0.973834522052	0.978546510264	0.978300725699
EJUND	0.737108537119	0.966827425817	0.59019498078	0.677792394698	0.981695686535	0.984634825159	0.983613394594	0.976472035535	0.977080628639	0.953671158216	0.973018682984	0.97948654481	0.972778943926	0.976859171876	0.976643557464
ELF1	0.308332265108	0.962703257107	0.549377504258	0.682125638076	0.974756659246	0.975561232865	0.975090597602	0.970524138017	0.970596453682	0.961371345505	0.959698572685	0.97292180048	0.967832197328	0.970837380395	0.970645342765
ELK1	0.455771814968	0.986775996198	0.607472738925	0.618790604857	0.994719222963	0.998005205291	0.997856681159	0.995408321185	0.995714490575	0.984711224261	0.992805542257	0.997259161832	0.989979140447	0.996588166414	0.995690727474
ETS1	0.585564334152	0.996464850966	0.572386838998	0.592083512729	0.999178625373	0.999430749681	0.999420377951	0.998981844231	0.998868483057	0.988309997222	0.998024983744	0.999297358235	0.996382895584	0.999276617863	0.999063837435
FOS	0.738568124619	0.988574561341	0.622023273593	0.639535005891	0.997085050347	0.997889479517	0.997677944546	0.995160856661	0.995418192403	0.976904629425	0.993205010552	0.996530946549	0.991090860951	0.99563372656	0.995359245014
FOSL1	0.752207666107	0.976513261587	0.607663177017	0.676209158065	0.987756971299	0.989495437533	0.988921050715	0.984352244278	0.984522486385	0.962796691552	0.981923342117	0.986439574153	0.981115260573	0.984754082054	0.984520355453
GABP	0.463500531325	0.975064364541	0.630030576737	0.691677465006	0.986443006574	0.987758833876	0.987379873183	0.983236321936	0.982954881797	0.970613390999	0.979894766699	0.985344398412	0.97955903033	0.983753800805	0.983415425416
GATA1	0.838360666041	0.995085078737	0.81062692225	0.623493903262	0.997621129629	0.997942043273	0.997857672588	0.997108667134	0.997160548972	0.984704873403	0.996231285808	0.997474669238	0.995314624037	0.997289523003	0.997176895981
GATA2	0.803147857326	0.986833409235	0.697665138219	0.56575532419	0.992871090314	0.993865446929	0.993537836651	0.991168474639	0.991201190871	0.971822644988	0.988926074215	0.992205269111	0.990001982821	0.991415639788	0.991271732644
IRF1	0.876927353785	0.921954039387	0.548472918458	0.789901612523	0.941721146439	0.948506822392	0.946136727339	0.933675071625	0.933742689987	0.953886921614	0.921630055279	0.938029199613	0.934893044741	0.93397772235	0.93381103115
