FACTOR	PEARSON	TC	FOS	PWM	HMMD	HMMD_BC	HMMD_BCN	BOYLE	NEPH	CUELLAR	PIQUE
ARID3A	0.80716421887	0.223019029089	0.0717600721302	0.0	0.67571584492	0.68068903336	0.683599867129	0.570307977032	0.532202344232	0.0	0.0535301096189
ATF1	0.687256109933	0.258845293456	0.0794427031019	0.0344366321293	0.641485015023	0.664955189411	0.662023607055	0.577740127777	0.525384882359	0.0345415091259	0.106371872206
ATF3	0.612195738469	0.343480360538	0.255567975739	0.0119076163492	0.847700033433	0.915262079004	0.910827960947	0.823287055955	0.826454765579	0.0158993357266	0.13895033315
BACH1	0.461480034821	0.185361407178	0.0491197362685	0.0136673248975	0.574589017379	0.591653961759	0.596298057373	0.482939286778	0.458993108016	0.0136805901481	0.071816580008
BHLHE40	0.563904607907	0.187406658809	0.0236971036595	0.0113635883573	0.482107046201	0.493829330722	0.488175152628	0.383853556208	0.375843796543	0.0120788684071	0.110422951673
CCNT2	0.620201438553	0.37680119304	0.0278441817459	0.031549798018	0.812985695222	0.829953602192	0.831379747093	0.743268211277	0.704705388956	0.0316629712899	0.107697948945
CEBPB	0.837443979326	0.0367167112752	0.00557343897516	0.0135144543808	0.144675101221	0.146230106801	0.1459734661	0.107126483422	0.0988101354214	0.0139138482724	0.0234278660056
CTCF	0.226450856972	0.3369824136	0.0877835597012	0.310789548094	0.729960946148	0.73574716898	0.741515553312	0.620621038672	0.611254874426	0.311993469475	0.412026568512
CTCFL	0.196114634764	0.649374928977	0.188667570807	0.341371511146	0.855949744069	0.896053502659	0.892319002694	0.788038476029	0.815004375173	0.342213234756	0.566612475597
E2F4	0.518568752189	0.815586388635	0.0864620548869	0.116769683575	0.832264307492	0.94595008909	0.93287420111	0.915064335318	0.886831443357	0.131008510922	0.433108006728
E2F6	0.625726742361	0.543965870657	0.0119012089594	0.0911984683121	0.880686435996	0.890375238397	0.899598184966	0.805987641381	0.803941107044	0.0972283046073	0.449082812655
EFOS	0.755693271069	0.207167100317	0.00923616776233	0.00271851898942	0.6171099015	0.632170504769	0.628664948414	0.491340108245	0.481707507445	0.00326734559925	0.0678925259868
EGATA	0.796900563532	0.247710518417	0.0182425924831	0.00370024486831	0.656597874792	0.669343046002	0.669043462753	0.558650226016	0.52558250324	0.00396921553936	0.0777716175686
