FACTOR	PEARSON	TC	FOS	PWM	HMMD	HMMD_BC	HMMD_BCN
ARID3A	0.701877346163	0.936607775584	0.142574238354	0.0203251208184	0.972009945834	0.974122293302	0.973331380668
ATF3	0.73426467604	0.984228740448	0.354844847353	0.577021470848	0.996388464534	0.997953490242	0.997489496506
BHLHE40	0.814807372927	0.913156874765	0.193437185608	0.202921327664	0.969878557221	0.9764611373	0.974145644141
BRCA1	0.705661980171	0.923026263111	0.136372007366	0.0	0.92914564817	0.92962406918	0.929379854271
CEBPB	0.728847716327	0.785776144755	0.2373395915	0.115008733965	0.866117895459	0.879992049218	0.87499366467
CTCF	0.373634485619	0.429955554906	0.32364411464	0.474484819533	0.616679542863	0.635793589314	0.62727118608
ELF1	0.850900588737	0.8656831785	0.140879886317	0.172827954511	0.933995664149	0.943871884329	0.940524229045
GABP	0.83201304335	0.838441930416	0.0952424325424	0.255005279395	0.921629708949	0.934696564764	0.929367233318
JUN	0.572427748325	0.36087630155	0.171616203202	0.328042154983	0.438463576025	0.45518283628	0.448259977384
JUND	0.902020172131	0.821386614544	0.186110558577	0.13412364931	0.927082049129	0.94251417641	0.937703391355
MAFF	0.923040692107	0.171407268425	0.086298326856	0.338837342043	0.238263400255	0.270288737647	0.25873388726
MAFK	0.942258142007	0.131083195903	0.0803803113654	0.283437559447	0.192960736031	0.225296200942	0.213572983224
MAX	0.909570607615	0.892479693424	0.208094339965	0.0464626125047	0.935197138309	0.941073254185	0.939092770484
MYC	0.902963093214	0.957195041908	0.159472893462	0.0785648241852	0.988642951497	0.991225715051	0.990091185608
NRF1	0.43861896977	0.690212750722	0.352086607067	0.488748411598	0.695052051365	0.840975986836	0.796787452088
RAD21	0.375313356768	0.437486510734	0.333675815005	0.470832897149	0.630250290061	0.650050543026	0.641380381633
REST	0.775954408113	0.327630536504	0.162013218754	0.706276455882	0.451253998775	0.490398009858	0.476263340893
RXRA	0.886339371967	0.868887807114	0.231163122163	0.123576966383	0.95895545795	0.968184228005	0.965366946227
SP1	0.506962415352	0.846763103275	0.380273268852	0.177432055422	0.968878617937	0.977150673013	0.974283717425
SP2	0.384355501841	0.686545617308	0.24136187511	0.199115340067	0.838404091823	0.844441762116	0.840430599845
SRF	0.599988381037	0.68655694313	0.125220994499	0.322261275574	0.770163062911	0.782841680544	0.777865172183
USF1	0.732592437693	0.55390675317	0.178305220826	0.272995991712	0.66486274055	0.69330999078	0.682946380625
USF2	0.636234630972	0.604021383731	0.195661750846	0.286092923488	0.684731515981	0.701083802024	0.694751980903
YY1	0.921427040771	0.917810392658	0.220128201062	0.417223668086	0.950719259898	0.956475352095	0.954640209005
