FACTOR	PEARSON	TC	FOS	PWM	HMMD	HMMD_BC	HMMD_BCN
ARID3A	0.701877346163	0.988025244779	0.328311284609	0.4581258059	0.992389654608	0.992910100354	0.992709114018
ATF3	0.73426467604	0.998422874045	0.608813605813	0.901548888389	0.999638846453	0.999795349024	0.999748949651
BHLHE40	0.814807372927	0.989575924987	0.462749782039	0.66134204455	0.995768295183	0.996633924109	0.9963221962
BRCA1	0.705661980171	0.988292097046	0.325349907919	0.452816078148	0.991570582112	0.992790455601	0.992295620146
CEBPB	0.728847716327	0.953874169266	0.508961206398	0.62310951279	0.966016507748	0.96898474785	0.967874799611
CTCF	0.373634485619	0.878772807848	0.684692020513	0.832848912333	0.909443168481	0.913179581041	0.911358886961
ELF1	0.850900588737	0.974097971253	0.425224307555	0.656274735491	0.982692676711	0.984517633426	0.983871984443
GABP	0.83201304335	0.967721452803	0.426515074627	0.695215701923	0.978046315387	0.980282533839	0.979405757452
JUN	0.572427748325	0.74577164419	0.555334080279	0.777243486617	0.773811025834	0.781875608043	0.778464455193
JUND	0.902020172131	0.973808413757	0.449597401327	0.671834196111	0.986018775929	0.988317291573	0.987565572291
MAFF	0.923040692107	0.647936112398	0.507924382556	0.76594694283	0.682746594711	0.702204951462	0.695012333652
MAFK	0.942258142007	0.622849106359	0.511317039572	0.735743778596	0.658922714609	0.679872658698	0.672157398731
MAX	0.909570607615	0.975679347743	0.472335280919	0.434622422628	0.982033996614	0.983767575377	0.983147751843
MYC	0.902963093214	0.995309972866	0.438163616284	0.535013746568	0.998579753803	0.998886173225	0.998754527425
NRF1	0.43861896977	0.966023557353	0.756597610806	0.859088101088	0.967530488674	0.982665304862	0.977987113718
RAD21	0.375313356768	0.884587727454	0.691567856987	0.833063795603	0.915268138369	0.918985204377	0.917196052915
REST	0.775954408113	0.798900260533	0.540395080648	0.879570784823	0.83034755505	0.842698952579	0.838044157735
RXRA	0.886339371967	0.983255043675	0.496913875821	0.540361788951	0.993014863402	0.994245445433	0.993851772676
SP1	0.506962415352	0.982704708194	0.709194435585	0.64513363456	0.995151689529	0.996032578833	0.995722076395
SP2	0.384355501841	0.945586266435	0.623883066217	0.658641237054	0.965563786659	0.966970537007	0.966147914888
SRF	0.599988381037	0.907902980425	0.415521417748	0.763970150891	0.924069655471	0.927821929546	0.926292325401
USF1	0.732592437693	0.878847150662	0.499647707511	0.792041267479	0.90098092026	0.908297523107	0.905519334469
USF2	0.636234630972	0.86434465117	0.529746555652	0.777655892435	0.883308558571	0.888837638639	0.886612967359
YY1	0.921427040771	0.979638188644	0.484981510206	0.792942691763	0.984395313171	0.985755348382	0.985285977307
