FACTOR	PEARSON	Tag Count AUC	Footprint AUC	Footprint AUC_0.1/Tag-count AUC_0.1
ATF3	0.54	0.92	0.56	0.34
CEBPB	0.81	0.71	0.52	0.41
CTCF	0.18	0.88	0.67	0.74
E2F6	0.41	0.92	0.57	0.36
EGR1	0.46	0.89	0.58	0.36
ELF1	0.76	0.90	0.48	0.20
ETS1	0.89	0.93	0.47	0.21
FOS	0.74	0.96	0.60	0.28
FOSL1	0.75	0.92	0.56	0.32
GABP	0.79	0.88	0.48	0.20
GATA1	0.39	0.92	0.65	0.42
GATA2	0.43	0.95	0.60	0.35
IRF1	0.62	0.98	0.53	0.22
JUN	0.79	0.94	0.58	0.30
JUND	0.74	0.91	0.54	0.35
MAX	0.57	0.83	0.54	0.34
MEF2A	0.66	0.93	0.48	0.15
MYC	0.52	0.97	0.57	0.31
NFE2	0.46	0.92	0.66	0.54
NRF1	0.07	0.95	0.69	0.56
REST	0.90	0.85	0.56	0.36
PU1	0.82	0.83	0.48	0.31
SIX5	0.82	0.93	0.50	0.20
SP1	0.89	0.97	0.47	0.14
SP2	0.90	0.87	0.44	0.17
SRF	0.82	0.87	0.47	0.16
STAT1	0.94	0.93	0.47	0.19
TAL1	0.48	0.96	0.48	0.17
USF1	0.70	0.78	0.53	0.39
USF2	0.44	0.90	0.43	0.26
YY1	0.75	0.85	0.54	0.31
ZBTB33	0.48	0.83	0.55	0.38
ZBTB7A	0.48	0.87	0.54	0.33
ZNF263	0.77	0.75	0.49	0.35
AR	0.94	0.94	0.49	0.02
GR	0.87	0.92	0.46	0.25
