FACTOR	PEARSON	TC	FOS	PWM	HMMD	HMMD_BC	HMMD_BCN
ARID3A	0.65254674678047	0.993124048953	0.327511623008	0.470470112324	0.996637516799	0.996926568873	0.996826901095
ATF1	0.564178110347905	0.978580609586	0.76283298698	0.715285601817	0.988706682253	0.990074896647	0.989594042052
ATF3	0.674689541187317	0.99617255721	0.829817005333	0.935450442276	0.998499641204	0.998733120081	0.998699943686
BACH1	0.585806095456664	0.940574078093	0.803810522007	0.653738402297	0.958120415544	0.961354624226	0.960139065624
BHLHE40	0.522136479323282	0.931357267605	0.542492282219	0.64557434016	0.948727921825	0.950420842481	0.949495501282
CCNT2	0.503906390639064	0.994181181964	0.490724575524	0.74135340872	0.998468485067	0.998830341801	0.998767029329
CEBPB	0.765003090341348	0.860190967111	0.536109605197	0.703369221968	0.885739474252	0.895321911685	0.891768204286
CTCF	0.419042418503905	0.944827983964	0.800847461704	0.829693489191	0.968578940613	0.970161886205	0.969273873106
CTCFL	0.389234923492349	0.945716487811	0.816963545947	0.815073075055	0.969380874114	0.971173387458	0.970151228593
E2F4	0.524292002078574	0.974290326276	0.581241432212	0.570974394154	0.99101714669	0.993453806952	0.992712144528
E2F6	0.62298003589502	0.969886688541	0.591916144742	0.649808325449	0.984343335409	0.986566047966	0.985842238404
EFOS	0.693537353735374	0.973552622635	0.621664228452	0.650662629405	0.98740586166	0.98994828996	0.989131263909
EGATA	0.540457667142148	0.981064070193	0.740346307535	0.570144355051	0.989424152616	0.990005743698	0.989790350855
EGR1	0.462274227422742	0.91901166223	0.605202704643	0.693521035121	0.944054152698	0.949022810416	0.947040438386
EJUNB	0.77957395739574	0.975755923331	0.646609577101	0.686758562061	0.989241567935	0.991596956454	0.990847850415
EJUND	0.653801380138014	0.975975480446	0.635827666207	0.677792394698	0.988635482776	0.990882682088	0.990164824389
ELF1	0.721716171617162	0.953944740214	0.399917069983	0.682125638076	0.968127416501	0.969932249012	0.969144473387
ELK1	0.686638723791641	0.985035775351	0.373313713595	0.618790604857	0.996695464832	0.997392980605	0.997264473509
ETS1	0.773666650720591	0.993327456906	0.367120405695	0.592083512729	0.998229358732	0.998718476777	0.998628756972
FOS	0.710675067506751	0.98888058278	0.660735758852	0.639535005891	0.996590750849	0.997473011207	0.997282832554
FOSL1	0.671587158715872	0.979584499689	0.601782007309	0.676209158065	0.991388393671	0.993339212308	0.992761570885
GABP	0.72960096009601	0.959244719927	0.531421344676	0.691677465006	0.973101670259	0.974940223675	0.974313842676
GATA1	0.539345934593459	0.993706273271	0.693143526333	0.623493903262	0.996801343368	0.997233094451	0.997146543869
GATA2	0.552307230723072	0.982532919087	0.741850477754	0.56575532419	0.989045890109	0.98973288194	0.989471042549
IRF1	0.845352287813248	0.911900598495	0.543119783253	0.789901612523	0.932604424624	0.939577025652	0.937121148286
JUN	0.62146560419242	0.992612057641	0.758328607056	0.639698351009	0.998004224834	0.998439513787	0.998334321595
JUND	0.658445844584458	0.973975356987	0.610195950966	0.668382220813	0.987134002181	0.989567992499	0.98879411104
MAFF	0.727296729672967	0.769740555868	0.57408584122	0.780620967314	0.798841551505	0.808348251818	0.804508077355
