CELL	FACTOR	SUPERCLASS	CLASS	FAMILY	SUBFAMILY	GENUS	PWM_IC	CHIP_PWM	AUC_PWM	AUC_BOYLE	AUC_NEPH	AUC_CUE2	AUC_CUE3	AUC_CENT	AUC_DH2	AUC_DH3	AUC_H2	AUC_H3
H1hesc	NRF1	0	0	6	0	1	14.2851024438	80.57	0.832383019318	0.909798797363	0.910282468692	0.889514690178	0.889913254482	0.613728078848	0.924520878884	0.922006244692	0.871954538823	0.858449423303
H1hesc	REST	2	3	4	0	27	23.0960784582	48.56	0.85632358845	0.863332448581	0.864883789084	0.878115171401	0.877901034256	0.340304453054	0.868588176214	0.864595090425	0.814889909822	0.777479988191
H1hesc	TCF12	1	2	1	0	3	13.152867773	24.43	0.511096517724	0.661850603447	0.64552350603	0.784698322051	0.784263307215	0.804170552687	0.780933989686	0.799373641454	0.676663875186	0.691739543767
H1hesc	SRF	5	1	2	0	1	15.5037760831	58.19	0.805434398721	0.825838213001	0.830813735324	0.903420418297	0.90308308022	0.469238296092	0.849364829181	0.853912855532	0.820294073101	0.807087121928
H1hesc	RFX5	3	3	3	0	5	13.5863312543	41.12	0.807718723169	0.862119961068	0.866997152864	0.881318780404	0.88198906319	0.640624019288	0.902937381059	0.900995897553	0.827534851539	0.810963855043
K562	STAT1	6	2	1	0	1	14.5639646794	13.89	0.636740420893	0.696874540239	0.88127976217	0.75971593982	0.759686549744	0.957296696187	0.877460880797	0.893978125031	0.789584856373	0.808172032537
K562	NRF1	0	0	6	0	1	14.2851024438	73.95	0.823622335303	0.913842927055	0.944017381982	0.889408121726	0.889155050693	0.848018983035	0.931583699748	0.935464518313	0.900898432646	0.900336550044
K562	IRF1	3	5	3	0	1	17.9048961979	39.22	0.789901612523	0.798793026846	0.834751737268	0.876889045482	0.876742544262	0.870179478741	0.869830581973	0.876562869271	0.807060782666	0.817437156503
K562	STAT5A	6	2	1	0	5	13.3276613803	20.75	0.695012964269	0.718467561829	0.890324405106	0.861890843067	0.861381466138	0.931458356443	0.879734212707	0.901745906725	0.790446677721	0.811614115171
K562	REST	2	3	4	0	27	23.0960784582	26.46	0.844272927129	0.866232575997	0.884070629215	0.877879735458	0.877541301624	0.549314681655	0.895089353678	0.897421579693	0.792073143071	0.789171011742
K562	SRF	5	1	2	0	1	15.5037760831	31.27	0.751680480256	0.775489171496	0.851647379414	0.875413485853	0.873849478183	0.866809816115	0.882678126453	0.893906982427	0.812650399434	0.829430796274
K562	RFX5	3	3	3	0	5	13.5863312543	21.58	0.763156406889	0.810693421736	0.878035815051	0.853978830724	0.854466023359	0.827425269143	0.903820599304	0.911319515575	0.820310710892	0.827625930875
K562	NFYA	4	2	1	0	1	16.6488168994	64.72	0.726508857701	0.842439961901	0.903613086645	0.850107560273	0.850143295035	0.8941231655	0.951601072346	0.956552252415	0.859441840134	0.868030216819
K562	STAT2	6	2	1	0	2	16.3045966544	58.92	0.82513264591	0.84252714981	0.897242058475	0.892230395132	0.891301158596	0.904285361747	0.926291086544	0.933629897617	0.858487352392	0.866273236298
