P53_F	P53_R
-0.0975534476109	-0.118859071185
-0.179781267158	-0.104121819659
-0.173806105413	-0.119927828201
-0.122654416675	-0.0855866476796
-0.0746868784983	-0.0830099088677
-0.0571769287734	-0.107010167904
-0.0798381908044	-0.105391010345
-0.0999761514563	-0.106135581716
-0.0509947912287	-0.126845100937
0.0267338521791	-0.128444755179
-0.0733888978732	-0.106166815427
-0.145007075455	-0.0896194515082
-0.140596617573	-0.111868369936
-0.154329729778	-0.110620615072
-0.0929971257897	-0.102217383589
-0.040447855034	-0.142077131189
0.00684285375877	-0.182330304866
-0.0746084796142	-0.177391661442
-0.149185927389	-0.121711225966
-0.0724323848184	-0.204100141467
-0.0390251886412	-0.11236553169
-0.118441386584	-0.107527721389
-0.147783944569	-0.131793727948
-0.264887882526	-0.0178023493514
-0.258340008774	0.0774482831994
-0.107610983393	-0.110633174338
0.0535706427694	-0.257655382834
-0.0237246622169	-0.24704860849
-0.119204192054	-0.132461766299
-0.0490749680211	-0.123355315273
-0.10984699702	-0.0667504086152
-0.16286132713	-0.096218858714
-0.136237953155	-0.173170279533
-0.179064955043	-0.077205350722
-0.206710918006	-0.0013634759775
-0.151339658164	-0.0445909483824
-0.120732053823	-0.110544505804
-0.117868198361	-0.121354451476
-0.124959763257	-0.106577823692
-0.118512110762	-0.139251319072
-0.0965252158977	-0.0780260705143
-0.0969418380498	-0.0299155409929
-0.0807771796275	-0.0821170891262
-0.0983652729551	-0.108963014883
-0.0971826482566	-0.0755915426254
-0.107924348664	-0.080443456532
-0.100327459388	-0.0965933403095
-0.0768630895579	-0.107841499241
-0.0965846937759	-0.161207001894
-0.0883767055694	-0.173857483668
