CTCF_F	CTCF_R	FOS_F	FOS_R	GATA2_F	GATA2_R	JUN_F	JUN_R	MAX_F	MAX_R	MYC_F	MYC_R
-0.0124042930894	-0.104989878061	-0.0819894789585	-0.0723691487465	-0.0849100552257	-0.102929292046	-0.0853364973252	-0.0795509547629	-0.0825084764579	-0.120203181874	-0.124546099736	-0.179253616783
-0.0852921708584	-0.123761958904	-0.0880084045807	-0.0763135315392	-0.116456214479	-0.104938865306	-0.0936802475302	-0.0776906315701	-0.115663296276	-0.130370496537	-0.159539930914	-0.206965353579
-0.118385394944	-0.133726859129	-0.0925742774061	-0.070306640768	-0.109109018176	-0.101880716842	-0.0969601098793	-0.0597624190235	-0.111397241398	-0.139549674605	-0.166626570112	-0.20005816374
-0.122865333746	-0.141294578206	-0.0818080325963	-0.0708974913116	-0.120238123169	-0.105828451715	-0.0894514524672	-0.0412661439779	-0.111630856371	-0.129280271216	-0.179465121877	-0.175998922408
-0.148831475961	-0.136721339447	-0.0728227691441	-0.0725464515026	-0.109814495503	-0.107110385635	-0.0784445614191	-0.0590674613546	-0.123007996914	-0.146650848664	-0.165311912809	-0.177202497154
-0.190351757705	-0.124139807891	-0.0685756613843	-0.0708015745529	-0.114469529619	-0.0927978343647	-0.0598274165336	-0.0766370281286	-0.125542210477	-0.141460246659	-0.20016184446	-0.190878457295
-0.230078716285	-0.0297981884259	-0.0647356876479	-0.0771548515788	-0.110902873761	-0.080546704326	-0.0526241110568	-0.0506205324165	-0.117913991928	-0.116885235127	-0.170003742846	-0.146375743138
-0.274551285857	0.097975064609	-0.0542493545788	-0.0696294217078	-0.100749340286	-0.0905578416089	-0.0532882496865	-0.0631866728158	-0.135889263274	-0.119895493115	-0.170146585558	-0.176218269417
-0.22503784204	0.155760112452	-0.0348385402491	-0.0566630709603	-0.109860338389	-0.0769122471946	-0.0397031470059	-0.0649050427467	-0.150078709957	-0.126214006342	-0.187401841444	-0.184513826125
-0.234131935907	0.0352745449038	-0.0262397719005	-0.0480150022348	-0.110298497346	-0.0850603208617	-0.0276467711852	-0.0298144452716	-0.115323631082	-0.103125053335	-0.156932512879	-0.16454117335
-0.225142176181	-0.0994683832494	-0.0225686237151	-0.0225579792621	-0.119042804385	-0.0868779374142	-0.0493715173203	-0.0193018898863	-0.124375076202	-0.124262050918	-0.178556554356	-0.184382021358
-0.205350858402	0.00802678178489	-0.0185832990771	0.0330407290243	-0.103904993645	-0.0850997508437	-0.0427274347736	-0.0226300736022	-0.129455266933	-0.0940161103922	-0.159955932944	-0.137548383926
-0.149215202829	-0.0917748948155	-0.0212246167982	-0.000952853871728	-0.112537019635	-0.08820761021	0.00907279660842	-0.0631107970735	-0.106676465383	-0.10152856546	-0.14746997762	-0.135942190232
0.2929336621	-0.193357513997	-0.0395680047513	0.162129269002	-0.129366754122	-0.0764224555363	-0.0133793209442	-0.0304797999898	-0.0905384332282	-0.129201949847	-0.133381449806	-0.156905253956
-0.0160632109239	-0.181639783782	-0.0358483258793	-0.0711446674006	-0.127857433046	-0.101094787937	-0.00344451091954	-0.0895129354957	-0.105849833389	-0.0702121559255	-0.118780255497	-0.108326818019
-0.286377243584	-0.126719072301	-0.0259895034198	0.0106674301157	-0.113119759907	-0.102575543264	-0.10642470236	-0.217780969964	-0.123498121281	-0.118545300483	-0.117644442675	-0.154868177883
